md5	name	包名	版本号	证书md5	证书名	级别	状态	abroadcautious	dexsize	软件大小
38efed6dee8b955d7d3d4642180067e8	蛙趣视频	com.waqu.android.general_video	65015	bdeeceec75ef51f85d08b12fdd5e3a39	CN=waqu, OU=www.waqu.com, O=www.waqu.com, L=beijing, ST=beijing, C=86	安全	下线	1	7472436	22121459
cb46ee211715a86f2c578aace9688b4a	阅读王	com.book2345.reader	420	15f0acd23719687454fb7aa69d0c5665	CN=adolf, O=上海二三四五网络科技股份有限公司, L=上海, ST=上海，上海市, C=86	安全	下线	0	8704004	6963736
8caad93cfd5e5679d7e806d2374b7718	附近约爱	com.tjmlkj.tcfjy	6	40c0f8c69fd64001e720361998da4445	CN=MiLian, OU=ML, O=ML, L=Beijing, ST=Chaoyang, C=86	未知	录入	1	3539736	2819659
07aa31683d4335c9e0214146ac5cac27	金山电池医生	com.ijinshan.kbatterydoctor	5017000	ee3200d6e4d372fb12abc923ea5633c1	CN=金山网络, OU=无线应用, O=金山网络, L=北京市朝阳区朝阳北路237号复星国际中心18层1801室, ST=中国北京, C=86	安全	下线	0	9231760	13662037
770f76444720fb4562f4938d694c1dcd	丁家宜	com.nizaima.tjoy	10	6868d9cc93c48576055847d6ff7a1c37	CN=西柚, OU=娄底西柚贸易有限公司, O=娄底西柚贸易有限公司, L=娄底, ST=湖南, C=中国	安全	上线	0	3704632	5714863
960f35535933394b65de1bfc0b45f560	纵横小说	com.zongheng.reader	43104	b9c43ba43f1e150d4f1670ae09a89a7f	CN=zongheng, OU=zongheng, O=zongheng	安全	审核	0	6172452	8602505
752208d531fac43bb7eca10cdca177ea	聚力视频	com.pplive.androidphone	217	05b560cb3a01efdc251558a9a8cbb656	CN=PPTV, OU=PPTV, O=PPTV, L=Shanghai, ST=Shanghai, C=CN	安全	下线	1	7712380	25429699
455f25e1da2100194409a5c26d389f15	百度文库	com.baidu.wenku	4160	13a0a8019be4015ed20e075d824f1696	CN=yk	安全	下线	0	8253212	16985099
887d311ebabca0f0af3a34119e29c774	豌豆荚	com.wandoujia.phoenix2	16061	bf2aae1159354601d9100b052ad0d498	CN=wandoujia, OU=wandoujia, O=wandoulabs, L=beijing, C=CN	安全	下线	0	8271780	9394626
f2f2b993cfc46ce1811634cf5be5b7e0	阅读王	com.book2345.reader	420	15f0acd23719687454fb7aa69d0c5665	CN=adolf, O=上海二三四五网络科技股份有限公司, L=上海, ST=上海，上海市, C=86	安全	下线	0	8704004	6963375
647fe3be0fdf8fcf94694b8029c8dcab	今日头条	com.ss.android.article.lite	596	aea615ab910015038f73c47e45d21466	CN=Micro Cao, OU=ByteDance, O=ByteDance, L=Beijing, ST=Beijing, C=CN	安全	下线	0	5191772	3498216
ccc6c5393996f65e923be5778dadbc42	星点	com.fhjwchina.starspot	679	989f5dea842529ce904154baf8b89d8d	CN=Android, OU=Development Dept, O=PEAK POINTS TECHNOLOGY CO.LTD, L=HuiZhou, ST=GuangDong, C=86	未知	录入	1	8750224	12347261
cf70ffc77bb12b44cb75a731ce09c1bb	百度文库	com.baidu.wenku	4170	13a0a8019be4015ed20e075d824f1696	CN=yk	安全	下线	0	8746344	18083627
b9cbfb1d5ee57de70228185731d57566	百度文库	com.baidu.wenku	4170	13a0a8019be4015ed20e075d824f1696	CN=yk	安全	下线	0	8746344	18083627
